artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
Superchunk,Songs in the Key of Yikes,7.4,Rock,Merge,Stephen Thomas Erlewine,2025.0,2025-08-25,542,https://www.pitchfork.com/reviews/albums/superchunk-songs-in-the-key-of-yikes/,Rock,['Rock'],['Rock'],1,Rock
Charley Crockett,Dollar a Day,7.6,Folk/Country,Island,Stephen Thomas Erlewine,2025.0,2025-08-25,441,https://www.pitchfork.com/reviews/albums/charley-crockett-dollar-a-day/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Pavement,Slanted and Enchanted,10.0,Rock,Matador,Mike Powell,2025.0,2025-08-24,1847,https://www.pitchfork.com/reviews/albums/pavement-slanted-and-enchanted/,Rock,['Rock'],['Rock'],1,Rock
Susumu Yokota,Skintone Edition Volume 1,8.7,Electronic,Lo Recordings / Skintone,Philip Sherburne,2025.0,2025-08-23,1847,https://www.pitchfork.com/reviews/albums/susumu-yokota-skintone-edition-volume-1/,Electronic,['Electronic'],['Electronic'],1,Electronic
Hand Habits,Blue Reminder,7.9,Rock,Fat Possum,Marissa Lorusso,2025.0,2025-08-22,595,https://www.pitchfork.com/reviews/albums/hand-habits-blue-reminder/,Rock,['Rock'],['Rock'],1,Rock
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Dreams of Being Dust,6.2,Rock,Epitaph,Patrick Lyons,2025.0,2025-08-22,880,https://www.pitchfork.com/reviews/albums/the-world-is-a-beautiful-place-and-i-am-no-dreams-of-being-dust/,Rock,['Rock'],['Rock'],1,Rock
Pino Palladino,That Wasn’t a Dream,7.5,Jazz / Rock / Experimental,New Deal / Impulse!,Dash Lewis,2025.0,2025-08-22,753,https://www.pitchfork.com/reviews/albums/pino-palladino-blake-mills-that-wasnt-a-dream/,Jazz / Rock / Experimental,"['Jazz', 'Rock', 'Experimental']","['Jazz', 'Rock', 'Experimental']",3,Jazz
Deftones,private music,7.6,Metal / Rock,Reprise,Sadie Sartini Garner,2025.0,2025-08-21,1094,https://www.pitchfork.com/reviews/albums/deftones-private-music/,Metal / Rock,"['Metal', 'Rock']","['Metal', 'Rock']",2,Metal
Laufey,A Matter of Time,7.2,Pop/R&B / Jazz,Vingolf,Will Hermes,2025.0,2025-08-21,690,https://www.pitchfork.com/reviews/albums/laufey-a-matter-of-time/,Pop_R&B / Jazz,"['Pop_R&B', 'Jazz']","['Pop/R&B', 'Jazz']",2,Pop/R&B
Audrey Hobert,Who’s the Clown?,6.9,Pop/R&B,RCA,Arielle Gordon,2025.0,2025-08-21,712,https://www.pitchfork.com/reviews/albums/audrey-hobart-whos-the-clown/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Chance the Rapper,Star Line,5.9,Rap,self-released,Alphonse Pierre,2025.0,2025-08-20,1153,https://www.pitchfork.com/reviews/albums/chance-the-rapper-star-line/,Rap,['Rap'],['Rap'],1,Rap
Maroon 5,Love Is Like,2.4,Rock,Interscope / 222,Linnie Greene,2025.0,2025-08-20,535,https://www.pitchfork.com/reviews/albums/maroon-5-love-is-like/,Rock,['Rock'],['Rock'],1,Rock
Mark Ernestus’ Ndagga Rhythm Force,Khadim,8.1,Experimental,self-released,Rae-Aila Crumble,2025.0,2025-08-20,705,https://www.pitchfork.com/reviews/albums/mark-ernestus-ndagga-rhythm-force-khadim/,Experimental,['Experimental'],['Experimental'],1,Experimental
Kaytranada,AIN’T NO DAMN WAY!,7.6,Pop/R&B,RCA,Andrew Ryce,2025.0,2025-08-19,831,https://www.pitchfork.com/reviews/albums/kaytranada-aint-no-damn-way/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Steve Gunn,Music for Writers,7.1,Folk/Country,Three Lobed,Stephen M. Deusner,2025.0,2025-08-19,765,https://www.pitchfork.com/reviews/albums/steve-gunn-music-for-writers/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Racing Mount Pleasant,Racing Mount Pleasant,6.3,Rock,R&R,Ian Cohen,2025.0,2025-08-19,751,https://www.pitchfork.com/reviews/albums/racing-mount-pleasant-racing-mount-pleasant/,Rock,['Rock'],['Rock'],1,Rock
Dijon,Baby,9.0,Pop/R&B,R&R / Warner,Ivy Nelson,2025.0,2025-08-18,1094,https://www.pitchfork.com/reviews/albums/dijon-baby/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Pool Kids,Easier Said Than Done,7.6,Rock,Epitaph,Hannah Jocelyn,2025.0,2025-08-18,774,https://www.pitchfork.com/reviews/albums/pool-kids-easier-said-than-done/,Rock,['Rock'],['Rock'],1,Rock
Rio Da Yung OG,F.L.I.N.T. (Feeling Like I’m Not Through),8.0,Rap,EMPIRE,Donald Morrison,2025.0,2025-08-18,731,https://www.pitchfork.com/reviews/albums/rio-da-yung-og-flint-feeling-like-im-not-through/,Rap,['Rap'],['Rap'],1,Rap
Various Artists,Songs in the Key of Z,9.1,Which?,Which?,Brad Shoup,2000.0,2025-08-17,3310,https://www.pitchfork.com/reviews/albums/various-artists-songs-in-the-key-of-z/,Which?,['Which?'],['Unknown'],0,Unknown
